id,Model,percent,AI Response
1.0,GPT-3.5,0,73
2.0,GPT-3.5,0,77
3.0,GPT-3.5,0,85
4.0,GPT-3.5,0,87
5.0,GPT-3.5,0,85
6.0,GPT-3.5,0,73
7.0,GPT-3.5,0,77
8.0,GPT-3.5,0,85
9.0,GPT-3.5,0,73
10.0,GPT-3.5,0,77
11.0,GPT-3.5,0,77
12.0,HUMAN,0,77
13.0,HUMAN,0,75
14.0,HUMAN,0,77
15.0,GPT-3.5,0,77
16.0,HUMAN,0,77
17.0,HUMAN,0,77
18.0,HUMAN,0,43
19.0,GPT-3.5,0,73
20.0,HUMAN,0,63
21.0,HUMAN,0,77
22.0,HUMAN,0,77
23.0,GPT-3.5,0,73
24.0,HUMAN,0,77
25.0,HUMAN,0,73
26.0,HUMAN,0,73
27.0,HUMAN,0,77
28.0,HUMAN,0,77
29.0,HUMAN,0,77
30.0,GPT-3.5,0,85
31.0,HUMAN,0,77
32.0,HUMAN,0,77
33.0,HUMAN,0,50
34.0,GPT-3.5,0,75
35.0,GPT-3.5,0,73
36.0,HUMAN,0,77
37.0,HUMAN,0,73
38.0,HUMAN,0,77
39.0,GPT-3.5,0,77
40.0,GPT-3.5,0,73
41.0,HUMAN,0,77
42.0,HUMAN,0,78
43.0,HUMAN,0,77
44.0,GPT-3.5,0,73
45.0,HUMAN,0,85
46.0,HUMAN,0,77
47.0,GPT-3.5,0,85
48.0,GPT-3.5,0,85
49.0,HUMAN,0,77
50.0,GPT-3.5,0,85
51.0,HUMAN,0,85
52.0,GPT-3.5,0,77
53.0,HUMAN,0,77
54.0,GPT-3.5,0,77
55.0,HUMAN,0,85
56.0,GPT-3.5,0,73
57.0,HUMAN,0,73
58.0,GPT-3.5,0,85
59.0,HUMAN,0,85
60.0,GPT-3.5,0,85
61.0,HUMAN,0,85
62.0,GPT-3.5,0,73
63.0,HUMAN,0,77
64.0,GPT-3.5,0,85
65.0,HUMAN,0,73
66.0,GPT-3.5,0,77
67.0,HUMAN,0,77
68.0,GPT-3.5,0,85
69.0,HUMAN,0,77
70.0,GPT-3.5,0,77
71.0,HUMAN,0,73
72.0,HUMAN,0,87
73.0,GPT-3.5,0,75
74.0,HUMAN,0,77
75.0,HUMAN,0,77
76.0,GPT-3.5,0,75
77.0,GPT-3.5,0,85
78.0,GPT-3.5,0,73
79.0,GPT-3.5,0,73
80.0,GPT-3.5,0,73
81.0,GPT-3.5,0,85
82.0,GPT-3.5,0,77
83.0,GPT-3.5,0,85
84.0,GPT-3.5,0,85
85.0,GPT-3.5,0,73
86.0,GPT-3.5,0,73
87.0,GPT-3.5,0,85
88.0,GPT-3.5,0,85
89.0,GPT-3.5,0,75
90.0,GPT-3.5,0,70
91.0,GPT-3.5,0,70
92.0,GPT-3.5,0,77
93.0,GPT-3.5,0,73
94.0,GPT-3.5,0,77
95.0,GPT-3.5,0,73
96.0,GPT-3.5,0,85
97.0,GPT-3.5,0,75
98.0,GPT-3.5,0,73
99.0,GPT-3.5,0,77
100.0,GPT-3.5,0,73
101.0,GPT-3.5,0,85
102.0,GPT-3.5,0,77
103.0,GPT-3.5,0,85
104.0,GPT-3.5,0,73
105.0,GPT-3.5,0,85
106.0,GPT-3.5,0,73
107.0,GPT-3.5,0,73
108.0,GPT-3.5,0,73
109.0,GPT-3.5,0,73
110.0,GPT-3.5,0,70
111.0,GPT-3.5,0,85
112.0,GPT-3.5,0,73
113.0,GPT-3.5,0,85
114.0,GPT-3.5,0,85
115.0,GPT-3.5,0,75
116.0,GPT-3.5,0,85
117.0,GPT-3.5,0,85
118.0,GPT-3.5,0,77
119.0,GPT-3.5,0,87
120.0,HUMAN,0,75
121.0,HUMAN,0,73
122.0,GPT-3.5,0,77
123.0,GPT-3.5,0,85
124.0,GPT-3.5,0,87
125.0,GPT-3.5,0,73
126.0,GPT-3.5,0,75
127.0,HUMAN,0,73
128.0,HUMAN,0,85
129.0,HUMAN,0,73
130.0,GPT-3.5,0,85
131.0,GPT-3.5,0,75
132.0,HUMAN,0,73
133.0,HUMAN,0,75
134.0,HUMAN,0,77
135.0,GPT-3.5,0,75
136.0,GPT-3.5,0,85
137.0,HUMAN,0,85
138.0,HUMAN,0,85
139.0,HUMAN,0,73
140.0,GPT-3.5,0,75
141.0,GPT-3.5,0,75
142.0,HUMAN,0,77
143.0,HUMAN,0,50
144.0,HUMAN,0,77
145.0,GPT-3.5,0,75
146.0,GPT-3.5,0,75
147.0,HUMAN,0,70
148.0,HUMAN,0,75
149.0,HUMAN,0,70
150.0,GPT-3.5,0,87
151.0,GPT-3.5,0,73
152.0,HUMAN,0,85
153.0,HUMAN,0,75
154.0,HUMAN,0,77
155.0,GPT-3.5,0,85
156.0,GPT-3.5,0,77
157.0,HUMAN,0,73
158.0,HUMAN,0,73
159.0,GPT-3.5,0,85
160.0,GPT-3.5,0,85
161.0,HUMAN,0,50
162.0,HUMAN,0,77
163.0,GPT-3.5,0,85
164.0,GPT-3.5,0,77
165.0,HUMAN,0,85
166.0,HUMAN,0,77
167.0,GPT-3.5,0,47
168.0,GPT-3.5,0,85
169.0,HUMAN,0,50
170.0,HUMAN,0,77
171.0,GPT-3.5,0,65
172.0,GPT-3.5,0,85
173.0,GPT-3.5,0,77
174.0,GPT-3.5,0,77
175.0,GPT-3.5,0,85
176.0,GPT-3.5,0,85
177.0,GPT-3.5,0,85
178.0,GPT-3.5,0,50
179.0,HUMAN,0,77
180.0,HUMAN,0,77
181.0,HUMAN,0,77
182.0,GPT-3.5,0,85
183.0,GPT-3.5,0,85
184.0,GPT-3.5,0,73
185.0,GPT-3.5,0,85
186.0,GPT-3.5,0,77
187.0,GPT-3.5,0,73
188.0,GPT-3.5,0,73
189.0,HUMAN,0,85
190.0,HUMAN,0,75
191.0,HUMAN,0,85
192.0,HUMAN,0,73
193.0,GPT-3.5,0,77
194.0,GPT-3.5,0,77
195.0,GPT-3.5,0,85
196.0,GPT-3.5,0,85
197.0,GPT-3.5,0,77
198.0,GPT-3.5,0,73
199.0,GPT-3.5,0,85
200.0,GPT-3.5,0,73
201.0,GPT-4,0,73
202.0,GPT-4,0,73
203.0,GPT-4,0,73
204.0,GPT-3.5,0,73
205.0,GPT-3.5,0,73
206.0,GPT-4,0,85
207.0,GPT-4,0,77
208.0,GPT-4,0,77
209.0,GPT-3.5,0,74
210.0,GPT-3.5,0,73
211.0,GPT-3.5,0,87
212.0,HUMAN,0,85
213.0,HUMAN,0,73
214.0,HUMAN,0,77
215.0,GPT-4,0,85
216.0,GPT-4,0,77
217.0,GPT-4,0,75
218.0,GPT-4,0,75
219.0,GPT-3.5,0,75
220.0,GPT-3.5,0,77
221.0,GPT-3.5,0,85
222.0,HUMAN,0,79
223.0,HUMAN,0,82
224.0,HUMAN,0,85
225.0,GPT-4,0,50
226.0,GPT-4,0,73
227.0,HUMAN,0,85
228.0,HUMAN,0,75
229.0,GPT-3.5,0,85
230.0,GPT-3.5,0,70
231.0,GPT-4,0,75
232.0,GPT-4,0,73
233.0,HUMAN,0,77
234.0,HUMAN,0,79
235.0,GPT-3.5,0,70
236.0,GPT-3.5,0,85
237.0,GPT-4,0,77
238.0,GPT-4,0,87
239.0,GPT-3.5,0,73
240.0,GPT-3.5,0,77
241.0,GPT-4,0,78
242.0,GPT-4,0,75
243.0,GPT-4,0,77
244.0,GPT-4,0,85
245.0,GPT-4,0,77
246.0,GPT-4,0,75
247.0,GPT-4,0,70
248.0,GPT-4,0,85
249.0,GPT-4,0,75
250.0,GPT-4,0,85
251.0,GPT-4,0,85
252.0,GPT-4,0,75
253.0,GPT-4,0,85
254.0,GPT-4,0,73
255.0,GPT-4,0,85
256.0,GPT-4,0,75
257.0,GPT-4,0,75
258.0,GPT-4,0,77
259.0,GPT-4,0,75
260.0,GPT-4,0,77
261.0,GPT-4,0,85
262.0,GPT-4,0,73
263.0,GPT-4,0,85
264.0,GPT-4,0,73
265.0,GPT-4,0,85
266.0,GPT-4,0,75
267.0,GPT-4,0,73
268.0,GPT-4,0,75
269.0,GPT-4,0,75
270.0,GPT-4,0,85
271.0,GPT-4,0,77
272.0,GPT-4,0,85
273.0,GPT-4,0,85
274.0,GPT-3.5,0,73
275.0,GPT-3.5,0,77
276.0,GPT-4,0,23
277.0,GPT-4,0,85
278.0,GPT-4,0,73
279.0,GPT-4,0,73
280.0,GPT-4,0,75
281.0,GPT-4,0,73
282.0,GPT-4,0,85
283.0,GPT-4,0,85
284.0,GPT-3.5,0,77
285.0,GPT-3.5,0,77
286.0,HUMAN,0,73
287.0,HUMAN,0,95
288.0,GPT-3.5,0,75
289.0,GPT-3.5,0,77
290.0,HUMAN,0,75
291.0,HUMAN,0,85
292.0,GPT-3.5,0,85
293.0,GPT-3.5,0,75
294.0,GPT-3.5,0,50
295.0,HUMAN,0,73
296.0,HUMAN,0,77
297.0,HUMAN,0,85
298.0,GPT-4o,0,75
299.0,GPT-4o,0,77
300.0,GPT-4o,0,77
301.0,GPT-4o,0,77
302.0,GPT-4o,0,77
303.0,GPT-4o,0,75
304.0,GPT-4o,0,77
305.0,GPT-4o,0,85
306.0,GPT-4o,0,82
307.0,GPT-4o,0,87
308.0,GPT-4o,0,77
309.0,GPT-4o,0,85
310.0,HUMAN,0,87
311.0,GPT-4o,0,75
312.0,HUMAN,0,85
313.0,GPT-4o,0,73
314.0,GPT-4o,0,75
315.0,HUMAN,0,75
316.0,HUMAN,0,50
317.0,GPT-4o,0,85
318.0,GPT-4o,0,87
319.0,GPT-4o,0,85
320.0,GPT-4o,0,85
321.0,GPT-4o,0,85
322.0,GPT-4o,0,85
323.0,GPT-4o,0,85
324.0,GPT-4o,0,73
325.0,GPT-4o,0,73
326.0,GPT-4o,0,85
327.0,GPT-4o,0,85
328.0,HUMAN,0,73
329.0,HUMAN,0,85
330.0,HUMAN,0,73
331.0,GPT-4o,0,87
332.0,GPT-4o,0,70
333.0,HUMAN,0,77
334.0,HUMAN,0,85
335.0,GPT-4o,0,85
336.0,GPT-4o,0,73
337.0,HUMAN,0,85
338.0,HUMAN,0,73
339.0,GPT-4o,0,85
340.0,HUMAN,0,73
341.0,GPT-4o,0,85
342.0,GPT-4o,0,77
343.0,GPT-4o,0,77
344.0,GPT-4o,0,77
345.0,GPT-4o,0,77
346.0,GPT-4o,0,73
347.0,HUMAN,0,85
348.0,HUMAN,0,77
349.0,HUMAN,0,73
350.0,GPT-4o,0,85
351.0,GPT-4o,0,75
352.0,GPT-4o,0,87
353.0,HUMAN,0,77
354.0,HUMAN,0,73
355.0,HUMAN,0,73
356.0,GPT-3.5,0,82
357.0,GPT-3.5,0,95
358.0,GPT-3.5,0,85
359.0,GPT-3.5,0,73
360.0,GPT-3.5,0,77
361.0,GPT-3.5,0,50
362.0,GPT-3.5,0,73
363.0,GPT-3.5,0,85
364.0,GPT-3.5,0,85
365.0,GPT-3.5,0,73
366.0,HUMAN,0,73
367.0,HUMAN,0,77
368.0,HUMAN,0,73
369.0,GPT-3.5,0,73
370.0,GPT-3.5,0,63
371.0,GPT-3.5,0,85
372.0,GPT-3.5,0,73
373.0,GPT-3.5,0,85
374.0,GPT-3.5,0,75
375.0,GPT-3.5,0,73
376.0,GPT-3.5,0,77
377.0,GPT-3.5,0,73
378.0,GPT-3.5,0,85
379.0,GPT-3.5,0,73
380.0,GPT-3.5,0,85
381.0,GPT-3.5,0,85
382.0,GPT-3.5,0,95
383.0,GPT-4o,0,77
384.0,GPT-4o,0,85
385.0,GPT-4o,0,77
386.0,GPT-4o,0,77
387.0,GPT-4o,0,63
388.0,HUMAN,0,73
389.0,HUMAN,0,75
390.0,GPT-4o,0,85
391.0,GPT-4o,0,85
392.0,GPT-4o,0,85
393.0,HUMAN,0,75
394.0,HUMAN,0,85
395.0,GPT-4o,0,73
396.0,GPT-4o,0,73
397.0,GPT-4o,0,48
398.0,HUMAN,0,50
399.0,HUMAN,0,73
400.0,HUMAN,0,43
401.0,GPT-4,0,73
402.0,GPT-4,0,70
403.0,GPT-4,0,85
404.0,HUMAN,0,85
405.0,HUMAN,0,95
406.0,HUMAN,0,85
407.0,GPT-4,0,50
408.0,GPT-4,0,73
409.0,GPT-4,0,75
410.0,GPT-4,0,73
411.0,GPT-4,0,73
412.0,GPT-4,0,75
413.0,GPT-4,0,85
414.0,GPT-4,0,85
415.0,GPT-4,0,73
416.0,GPT-4,0,85
417.0,GPT-4,0,73
418.0,GPT-4,0,73
419.0,GPT-4,0,73
420.0,GPT-4,0,85
421.0,GPT-4,0,73
422.0,HUMAN,0,85
423.0,HUMAN,0,77
424.0,GPT-4,0,79
425.0,GPT-4,0,85
426.0,GPT-4o,0,73
427.0,GPT-4o,0,75
428.0,GPT-4o,0,75
429.0,GPT-4o,0,50
430.0,GPT-4o,0,75
431.0,GPT-4o,0,75
432.0,GPT-4o,0,75
433.0,GPT-4o,0,77
434.0,GPT-4o,0,73
435.0,GPT-4o,0,85
436.0,GPT-4o,0,85
437.0,GPT-4o,0,73
438.0,GPT-4o,0,85
439.0,GPT-4o,0,75
440.0,GPT-4o,0,85
441.0,GPT-4o,0,75
442.0,GPT-4o,0,77
443.0,GPT-4o,0,70
444.0,GPT-4o,0,73
445.0,GPT-4o,0,75
446.0,GPT-4o,0,73
447.0,GPT-4o,0,77
448.0,GPT-4o,0,85
449.0,GPT-4o,0,73
450.0,GPT-4,0,85
451.0,GPT-4,0,63
452.0,GPT-4,0,73
453.0,GPT-4o,0,87
454.0,GPT-4o,0,77
455.0,GPT-4o,0,73
456.0,GPT-4o,0,75
457.0,GPT-4o,0,73
458.0,GPT-4o,0,75
459.0,GPT-4o,0,85
460.0,GPT-4o,0,75
461.0,GPT-4o,0,77
462.0,GPT-4o,0,75
463.0,GPT-4o,0,75
464.0,GPT-4o,0,87
465.0,GPT-4o,0,75
466.0,GPT-4o,0,70
467.0,GPT-4o,0,85
468.0,GPT-4o,0,75
469.0,GPT-4o,0,77
470.0,GPT-4o,0,85
471.0,GPT-4o,0,75
472.0,GPT-4o,0,73
473.0,GPT-4o,0,85
474.0,GPT-4o,0,77
475.0,GPT-4o,0,85
476.0,GPT-4o,0,77
477.0,GPT-4o,0,85
478.0,GPT-4o,0,85
479.0,GPT-4,0,73
480.0,GPT-4,0,85
481.0,GPT-4,0,87
482.0,GPT-4,0,75
483.0,GPT-4,0,75
484.0,GPT-4,0,85
485.0,GPT-4,0,85
486.0,GPT-4,0,75
487.0,GPT-4,0,77
488.0,GPT-4,0,75
489.0,GPT-4,0,77
490.0,GPT-4,0,73
491.0,GPT-4,0,75
492.0,GPT-4,0,85
493.0,GPT-4,0,85
494.0,GPT-4,0,73
495.0,GPT-4,0,87
496.0,GPT-4,0,82
497.0,GPT-4,0,73
498.0,GPT-4,0,73
499.0,GPT-4,0,77
500.0,GPT-4,0,77
501.0,GPT-4,0,85
