id,Model,percent,AI Response
1.0,GPT-3.5,0,100
2.0,GPT-3.5,0,90
3.0,GPT-3.5,0,90
4.0,GPT-3.5,0,100
5.0,GPT-3.5,0,90
6.0,GPT-3.5,0,90
7.0,GPT-3.5,0,100
8.0,GPT-3.5,0,0
9.0,GPT-3.5,0,100
10.0,GPT-3.5,0,90
11.0,GPT-3.5,0,90
12.0,HUMAN,0,100
13.0,HUMAN,0,90
14.0,HUMAN,0,100
15.0,GPT-3.5,0,90
16.0,HUMAN,0,90
17.0,HUMAN,0,90
18.0,HUMAN,0,90
19.0,GPT-3.5,0,100
20.0,HUMAN,0,90
21.0,HUMAN,0,90
22.0,HUMAN,0,90
23.0,GPT-3.5,0,100
24.0,HUMAN,0,90
25.0,HUMAN,0,90
26.0,HUMAN,0,90
27.0,HUMAN,0,90
28.0,HUMAN,0,100
29.0,HUMAN,0,100
30.0,GPT-3.5,0,90
31.0,HUMAN,0,90
32.0,HUMAN,0,100
33.0,HUMAN,0,90
34.0,GPT-3.5,0,100
35.0,GPT-3.5,0,100
36.0,HUMAN,0,90
37.0,HUMAN,0,100
38.0,HUMAN,0,100
39.0,GPT-3.5,0,100
40.0,GPT-3.5,0,100
41.0,HUMAN,0,90
42.0,HUMAN,0,90
43.0,HUMAN,0,0
44.0,GPT-3.5,0,90
45.0,HUMAN,0,90
46.0,HUMAN,0,90
47.0,GPT-3.5,0,90
48.0,GPT-3.5,0,90
49.0,HUMAN,0,90
50.0,GPT-3.5,0,90
51.0,HUMAN,0,90
52.0,GPT-3.5,0,90
53.0,HUMAN,0,100
54.0,GPT-3.5,0,90
55.0,HUMAN,0,90
56.0,GPT-3.5,0,90
57.0,HUMAN,0,100
58.0,GPT-3.5,0,90
59.0,HUMAN,0,90
60.0,GPT-3.5,0,98
61.0,HUMAN,0,80
62.0,GPT-3.5,0,100
63.0,HUMAN,0,90
64.0,GPT-3.5,0,100
65.0,HUMAN,0,90
66.0,GPT-3.5,0,90
67.0,HUMAN,0,90
68.0,GPT-3.5,0,90
69.0,HUMAN,0,100
70.0,GPT-3.5,0,100
71.0,HUMAN,0,98
72.0,HUMAN,0,90
73.0,GPT-3.5,0,90
74.0,HUMAN,0,100
75.0,HUMAN,0,90
76.0,GPT-3.5,0,90
77.0,GPT-3.5,0,90
78.0,GPT-3.5,0,98
79.0,GPT-3.5,0,90
80.0,GPT-3.5,0,90
81.0,GPT-3.5,0,90
82.0,GPT-3.5,0,90
83.0,GPT-3.5,0,100
84.0,GPT-3.5,0,90
85.0,GPT-3.5,0,99
86.0,GPT-3.5,0,90
87.0,GPT-3.5,0,90
88.0,GPT-3.5,0,90
89.0,GPT-3.5,0,0
90.0,GPT-3.5,0,100
91.0,GPT-3.5,0,90
92.0,GPT-3.5,0,90
93.0,GPT-3.5,0,98
